id,zh,en
QianMo-QMtato,QMtato,QMtato
QMTATO_ENABLE_ITEMS,是否启用MOD物品(重启游戏后生效),Enable Mod Items(Restart Game To Apply)
QMTATO_ENABLE_WEAPONS,是否启用MOD武器(重启游戏后生效),Enable Mod Weapons(Restart Game To Apply)
QMTATO_ENABLE_CHARACTERS,是否启用MOD角色(重启游戏后生效),Enable Mod Characters(Restart Game To Apply)
WEAPON_YONGCHUN,咏春拳,Wing Chun
DOGE_CAP_SHOW,[color=#00ff00]+{0}[/color] %闪避上限,[color=#00ff00]+{0}[/color] % Dodge Cap
WEAPON_GHOST_SMG,幽魂冲锋枪,Ghost SMG
GHOST_SMG_GAIN_LUCK,使用该武器在敌袭中每击杀{2}名敌人便会[color=#00ff00]+[/color]{0}{1},[color=#00ff00]+[/color]{0} {1} for every {2} enemies you kill during a wave with this weapon
ITEM_ILLEGAL_GOLD,不义之财,Ill-gotten Gains
ITEM_ILLEGAL_GOLD_GET,[color=#00ff00]+{0} [/color]材料,[color=#00ff00]+{0} [/color]Materials
ITEM_ILLEGAL_UNPICKED_GOLD_GET,[color=#00ff00]+{0} [/color]未捡取的材料,[color=#00ff00]+{0} [/color]Materials that haven't been picked up
ITEM_TRENCH,生存背包,Survival Backpack
ITEM_MEATBALL,危险的蛋糕,Dangerous Cake
ITEM_RANGED_MASTERY,射击精通,Master of Shooting
ITEM_CURE,兴奋剂,Analeptic
ITEM_ARMOR_HP,血肉之躯,Flesh Body
WEAPON_FACE_PUNCHER,面部穿孔机,Face Puncher
CHARACTER_AVERAGE,平衡者,Balance
CHARACTER_AVERAGE_TAG_DETAIL,商店更有可能出售{0}道具([color=red]你缺少[/color]{0}) 升级时增加 [color=#00ff00]1[/color] 随机属性,Shops have more chance to sell {0} item ([color=red]You lack[/color] {0}). Add [color=#00ff00]1[/color] random stat when you levelled up.
MAX_STATS_DIFFERENCE,面板数值差,Damage Difference
BONUS_DAMAGE_BY_STATS_CHANCE,%伤害几率,% Chance of Bonus Damage
BONUS_DAMAGE_BY_STATS_CHANCE_HINT,当数值差为[color=#00ff00]3[/color]的倍数时获得爆炸伤害加成 [[color=#00ff00]+{0}%[/color]] 伤害排序:{1},When the damage difference is a multiple of [color=#00ff00]3[/color] you get explosion damage bonus [[color=#00ff00]+{0}%[/color]] the order of damage : {1}
CHARACTER_BERSERKER,狂战士,Berserker
PRESS_K_LOSE_HEALTH_TEXT,按{1}键可以对自己造成[color=red]{0}%[/color]最大生命值的伤害并且产生一次爆炸击退附近敌人造成[color=#00ff00]{2}[/color] ({3})伤害,Press {1} to deal [color=red]{0} %[/color] of your max hp damage to yourself and make explosion to enemies dealing [color=#00ff00]{2}[/color] ({3}) damage with knockback
LOW_HEALTH_BONUS_TEXT,根据剩余生命值获得加成，加成上限取决于最大生命值({0}),You get bonus according to your current hp and the cap of bonus depends on your max hp ({0})
DEAL_BONUS_DAMAGE_BY_STATS,攻击敌人时有 [color=#00ff00]{0}%[/color] 几率产生爆炸，造成 [color=#00ff00]{1}[/color] ({2}) 伤害(最低值的属性),you have [color=#00ff00]{0}%[/color] chance to make explosion and deal [color=#00ff00]{1}[/color] ({2}) damage(the stat with lowest damage) when hitting an enemy.
WEAPON_TERRA_BLADE,泰拉刃,Terra Blade
INVOKER_SKILL_TEXT,每击杀[color=#00ff00]{0}[/color]敌人，会触发一次[color=#00ff00]节奏狂热[/color]，按照规定时间内按对应的按键即可释放冲击波，造成({1})伤害,Every [color=#00ff00]{0}[/color] kills can start a [color=#00ff00]Rhythmic Combat[/color] and press the right button in time can deal ({1}) damage.
CHARACTER_INVOKER,节奏大师,Rhythm
CHARACTER_TINKER,修补匠,Tinker
WEAPON_SLOT_TEXT,{0} [color=white]{1}[/color],{0} [color=white]{1}[/color]
TINKER_EFFECT_TEXT,每局生成一个[color=#00ff00]口袋工厂[/color]\n站在其[color=#00ff00]维修区域[/color]内可以使其每秒回复[color=#00ff00]10%[/color]的生命值并且发射额外的子弹\n口袋工厂和你共享[color=#00ff00]护甲、范围、最大生命值和攻击速度[/color]\n每待在维修区域内[color=#00ff00]15s[/color]会触发火箭轰炸,Spawn a [color=#00ff00]pocket factory[/color] at wave start\nWhen you stay at it's area of reparing"," it will regenerate [color=#00ff00]10%[/color] hp per second and fire bonus projectiles\nPocket factory is affected by your [color=#00ff00]armor"," max hp"," range and attack speed[/color]\nStay in the repairing area for [color=#00ff00]15s[/color] can trigger cluster rockets.
ADDITIONAL_BOUNCE_DAMAGE_TEXT,{0} 反弹伤害 ({1}),{0} bounce damage ({1})
ADDITIONAL_BOUNCE_TEXT,{0} ({1}),{0} ({1})
CHARACTER_RECURSION,递归,Recursion
CHARACTER_RECURSION_DETAIL,最后一次反弹的子弹会弹向你或者远离你并且获得无限贯通\n精英关卡和BOSS关卡触发最后一发跳弹只需要反弹[color=#00ff00]4[/color]次\n按[color=#00ff00]SPACE[/color]可以切换专注模式来锁定精英敌人,The last ricochet will bounce at you or stay away from you and gain infinite piercing\nWhen you are in elites wave or BOSS wave"," the last ricochet only needs [color=#00ff00]4[/color] bounces\nPress [color=#00ff00]SPACE[/color] can toggle focus mode to aim at elites enemies.
FACE_PUNCHER_BURN_TEXT,子弹{0}几率造成{1}[color=#00ff00]武器伤害[/color]x{2}的燃烧伤害(无法传播)[[color=#00ff00]{3}[/color]x{2}],{0} chance dealing {1} [color=#00ff00]weapon damage[/color]x{2} burning damage.(Cant spread)[[color=#00ff00]{3}[/color]x{2}]
CHARACTER_JUGGERNAUT,主宰,Juggernaut
BLADE_FURY_DESCRIBTION,按[color=#ffa500]{0}[/color]开启[color=#00ff00]剑刃风暴[/color]\n[color=#00ff00]剑刃风暴[/color]冷却时间:{3} ({4})\n\n[color=#00ff00]剑刃风暴[/color]期间:\n攻速降低[color=red]200%[/color]\n移速增加[color=#00ff00]30%[/color]\n对附近敌人造成{1} ({2})伤害\n,Press [color=#ffa500]{0}[/color] to start [color=#00ff00]Blade Fury[/color]({3} ({4}))\n\nDuring [color=#00ff00]Blade Fury[/color]:\nAttack Speed is decreased by [color=red]200%[/color]\nMove Speed is increased by [color=#00ff00]30%[/color]\nDeal {1} ({2}) damage to the enemies\n
ITEM_MAELSTORM,旋涡,Maelstorm
ITEM_MAELSTORM_EFFECT,武器攻击时有[color=#00ff00]{0}%[/color]几率释放[color=#d4f2e7]连环闪电[/color]，反弹[color=#00ff00]{3}[/color]次，造成[color=#00ff00]{1}[/color] ({2})伤害,[color=#00ff00]{0}%[/color] chance to release [color=#d4f2e7]a bolt of electricity[/color] that bounces [color=#00ff00]{3}[/color] times dealing [color=#00ff00]{1}[/color] ({2}) damage
CHARACTER_PUPPETEER,傀儡师,Puppeteer
PUPPETEER_EFFECT,敌人生成时有{0}几率傀儡一个敌人\n\n傀儡的敌人增强:\n{1}生命值\n{2}伤害\n{3}速度\n\n按{4}可以切换控制模式让傀儡攻击范围内离你最近的敌人\n最多同时存在{5}个傀儡,You have {0} chance puppet an enemy\n\nThe puppets gain bonus: \n{1} health\n{2} damage\n{3} speed\n\nPress {4} can toggle mode which you can let your puppets fight to the enemy whcih is nearest to you\nThe max number of puppets is {5}
CHARACTER_CRACK_SHOT,神射手,Crack Shot
CRACK_SHOT_DETAIL_TEXT,每击杀[color=#00ff00]{0}[/color]敌人会进入磁轨炮模式，此时无法移动，可以通过方向键调整磁轨炮方向，每充能[color=#00ff00]1s[/color]便会提升[color=#00ff00]200%[/color]伤害，同时磁轨炮[color=#00ff00]宽度[/color]也会降低，轨道炮基础伤害为[color=#00ff00]{1}[/color] ({2}),Every [color=#00ff00]{0}[/color] kills can give you chance to use Rail Gun\nWhile using Rail Gun you can adjust the direction of Rail Gun but can't move\nEvery [color=#00ff00]second[/color] increases [color=#00ff00]200%[/color] damage of Rail Gun and [color=#00ff00]width of Rail Gun[/color] will decrease\nThe base damage of Rail Gun is [color=#00ff00]{1}[/color] ({2})
TWO_WEAPON_TEXT,同时仅能装备4个武器,You can only equip four weapons at a time
CHARACTER_NEUTRALIZATION,调和,Neutralization
NEUTRALIZATION_DETAIL_TEXT,每隔{0} ({5})后可以切换[color=gray]阴[/color]和[color=#00fcff]阳[/color]\n击中怪物会给怪物施加[color=gray]阴鱼[/color]或[color=#00fcff]阳鱼[/color]\n[color=gray]阴[/color][color=#00fcff]阳[/color]中和造成{1} [color=#555555]| {2}[/color] ({3}) 伤害\n[color=gray]阴鱼[/color]会提升怪物{4}移速\n[color=#00fcff]阳鱼[/color]会降低怪物{4}移速\n带有[color=gray]阴[/color][color=#00fcff]阳[/color]状态的怪物死后会传播状态到附近敌人\n每通过[color=gray]阴[/color][color=#00fcff]阳[/color]中和击杀[color=#00ff00]{6}[/color]敌人可以将所有怪物血量降低为当前的50%同时回复50%最大生命值,Every {0} ({5}) changed your status between [color=gray]BLACK[/color] and [color=#00fcff]WHITE[/color]\nHitting an enemy gives them [color=gray]BLACK[/color] or [color=#00fcff]WHITE[/color]\nMixed [color=gray]BLACK[/color] and [color=#00fcff]WHITE[/color] will deal {1} [color=#555555]| {2}[/color] ({3}) damage\n[color=gray]BLACK[/color] will increase the enemy speed by {4}\n[color=#00fcff]WHITE[/color] will decrease the enemy speed by {4}\nWhen an enemy which has [color=gray]BLACK[/color] or [color=#00fcff]WHITE[/color] died it will spread the [color=gray]BLACK[/color] or [color=#00fcff]WHITE[/color] to the enemies nearby\nEvery [color=#00ff00]{6}[/color] kills by mixing [color=gray]BLACK[/color] and [color=#00fcff]WHITE[/color] will half all the enemies' health and heal you 50% of your max health
ALL_DAMAGE_REDUCTION,{0} 所有固伤,{0} all base damage
ITEM_PLUM_TREE,黑布林大李子树,Plum Tree
EFFECT_PLUM_TREE,每隔[color=#00ff00]{0}s[/color]生成一个[color=#6905E8]黑布林大李子[/color]，拾取可以{1},Every [color=#00ff00]{0}s[/color] spawn a [color=#6905E8]plum[/color]，when pick up it you will gain {1}
ITEM_LEMON_TREE,柠檬树,Lemon Tree
EFFECT_LEMON_TREE,每隔[color=#00ff00]{0}s[/color]生成一个[color=yellow]大柠檬[/color]，拾取可以{1},Every [color=#00ff00]{0}s[/color] spawn a [color=yellow]lemon[/color]，when pick up it you will gain {1}
CHARACTER_ORCHARD_MAN,果农,Orchard Man
ITEM_DURIAN_TREE,榴莲树,Durian Tree
EFFECT_DURIAN_TREE,每隔[color=#00ff00]{0}s[/color]生成一个[color=yellow]大榴莲[/color]，拾取可以{1},Every [color=#00ff00]{0}s[/color] spawn a [color=yellow]durian[/color]，when pick up it you will gain {1}
CHARACTER_ORCHARD_MAN_EFFECT,当你吃[color=#00ff00]水果[/color]的时候有[color=#00ff00]25%[/color]几率效果翻倍,You have [color=#00ff00]25%[/color] chance to double the effect of fruit when you eat [color=#00ff00]fruits[/color]
CHARACTER_ORCHARD_MAN_FRUITS_COLLECTED,已吃下的水果树的果子：{0},Number of fruits you have collected : {0}
RANDOM_TEXT,随机,one of
BULLET_FRUIT_BULLET,子弹果发射子弹,Bullet Fruit Bullet
EFFECT_BULLET_TREE,每隔[color=#00ff00]{0}s[/color]生成一个[color=yellow]子弹果[/color]，拾取可以{1},Every [color=#00ff00]{0}s[/color] spawn a [color=yellow]Bullet Fruit[/color]，when pick up it you will gain {1}
ITEM_BULLET_TREE,子弹树,Bullet Tree
CHARACTER_MINER,盗墓者,Tomb Robber
WEAPON_LUOYANG_SHOVEL,洛阳铲,Shovel
DIG_COMPLETED,你找到了：,You found : 
TREASURE_FINDED,发现宝藏 !!,Found Treasure !!
TREASURE_ITEM_BOX,宝箱,Item Box
HIDDEN_TREASURE_EFFECT,地图中会随机生成[color=#FFCC33]{0}藏宝区(不可见)[/color]，进入藏宝区并保持不动[color=#00ff00]{1}[/color]后可以挖掘出宝箱或材料,Generate [color=#FFCC33]1 area of treasure(Invisible)[/color]，stay in the area without movement for [color=#00ff00]{1}[/color] will find item box or materials
DIG_SPEED,%挖掘速度,% Dig Speed
EFFECT_DIG_SPEED,[color=#00ff00]+{0}[/color] [color=white]{1}[/color],[color=#00ff00]+{0}[/color] [color=white]{1}[/color]
TREASURE_ENEMY,钱和怪物,Monsters and Materials
FRUIT_LUCK_CHANCE,[color=yellow]\n正面效果几率受幸运影响[/color],[color=yellow]\nchance of positive effect is affected by Luck[/color]
FREE_TURRET,免费炮塔,Free Turret
FREE_PUPPET,傀儡,Puppet
EFFECT_RAINBOW_TREE,每隔[color=#00ff00]{0}s[/color]生成一个[color=yellow]神奇果实[/color]，拾取可以{1},Every [color=#00ff00]{0}s[/color] spawn a [color=yellow]Magic Fruit[/color]，when pick up it you will gain {1}
ITEM_RAINBOW_TREE,神奇果树,Magic Tree
CHAL_ORCHARD_MAN,使用 {0} 在 危险{1} 难度中赢得一场比赛，比赛结束时要求同时拥有：{4},Win a run with {0} in Danger {1} and hold all of these items at the same time: {4}
CHAL_CHARACTER_MINER,使用 {0} 在 危险{1} 难度中赢得一场比赛，比赛结束时要求同时拥有：{2},Win a run with {0} in Danger {1} and hold all of these weapons at the same time: {2}
CHAL_QMTATO_CHARACTER_TEDIORE,使用 {0} 在 危险{1} 难度中赢得一场比赛,Win a run with {0} in Danger {1}
ITEM_X_MARK,X标记,X mark
X_MAKR_EFFECT,地图中会随机生成[color=#FFCC33]{0}藏宝区[/color]，进入藏宝区并保持不动[color=#00ff00]{1}[/color]后可以挖掘出宝箱或材料,Generate [color=#FFCC33]1 area of treasure[/color]，stay in the area without movement for [color=#00ff00]{1}[/color] will find item box or materials
EFFECT_CONVERT_STAT_BY_PERCENT,获得时将[color=#00ff00]{0} {1}[/color]转化为[color=#00ff00]{2}[/color] ([color=#00ff00]{3} {1}[/color] = [color=#00ff00]{4} {2}[/color]),When you get this item"," convert [color=#00ff00]{0} {1}[/color] to [color=#00ff00]{2}[/color] ([color=#00ff00]{3} {1}[/color] = [color=#00ff00]{4} {2}[/color])
FRUIT_TREE_REDUCE_EFFECT_WHEN_GAME_ENDED,[color=#00ff00]敌袭结束后自动收集[/color][color=white]的果子[/color][color=red]效果减半[/color],[color=#00ff00]Fruits which were auto collected after end of the wave [/color][color=white] is [/color][color=red]half of its effect[/color]
CHARACTER_PORTAL_ATLAS,P-Body,P-Body
PORTAL,传送门,portral
EFFECT_PORTAL,地图中会生成{0}和{1}，每隔[color=#00ff00]{2}[/color]传送门的位置会发生变更\n物体进入传送门后会被传送至另一端，怪物会受到[color=#00ff00]{3} 其最大生命值[/color]的伤害\n[color=#00ff00]子弹[/color]进入传送门后[color=#00ff00]发生一些变化[/color],Generate {0} and {1}\nEvery [color=#00ff00]{2}[/color] the portals"'" position will be changed\nObjects will be teleported to another portal when they entered the portal\nEnemy will receive [color=#00ff00]{3} of it"'"s max hp [/color] damge when entering the portal\n[color=#00ff00]Bullets[/color] gain [color=#00ff00]some changes[/color] when entering portal
EFFECT_GOLD_ON_KILL,攻击敌人时有[color=#00ff00]{0}%[/color]概率获得[color=#00ff00]{1}材料[/color],You have [color=#00ff00]{0}%[/color] chance to gain [color=#00ff00]{1} Materials[/color] when you hit an enemy
WEAPON_QMTATO_MATERIALS_GUN,材料枪,Materials Gun
WEAPON_QMTATO_MATERIALS_GUN_DETAIL,[color=#00fcff]枪械发射材料[/color]\n枪械能够[color=#00ff00]吸取材料[/color]为自己充能\n吸取的材料[color=#00ff00]价值[/color]会提升枪械的伤害\n回合结束后枪械剩余材料的[color=red]50%[/color]会被转化为可用材料,Gun will [color=#00ff00]attract materials[/color] for charging itself\nShoot will consume the [color=#00ff00]materials of the gun[/color]\nThe [color=#00ff00]price of materials[/color] will increase the damage of the gun\nOnly [color=red]50%[/color] of your gun"'"s materials can be converted into cash when wave ended
WEAPON_QMTATO_MATERIALS_GUN_LOSE_GOLD,射击优先消耗吸取的材料","若没有材料则每次射击[color=red]{0}%概率[/color]扣除[color=red]1材料[/color],If the gun haven"'"t attract any materials every shoot will have [color=red]{0}% chance[/color] to consume [color=red]1 Material[/color]
WEAPON_CLASS_QMTATO_WEALTH,财富,Wealth
CHARACTER_TURRET_MASTER,塔王,Turret Master
EFFECT_TURRET_MASTER,你无法使用武器\n你能[color=#00ff00]抱起炮塔[/color],You can"'"t use weapons\nYou can [color=#00ff00]grab turrets[/color]
QMTATO_GYROJETS,武器发射[color=#00ff00]爆炸粘弹[/color],Weapon shoots [color=#00ff00]gyrojects[/color]
QMTATO_GYROJETS_STICK,粘弹会[color=#00ff00]依附[/color]在物体身上,The gyrojects will stick to entities
QMTATO_GYROJETS_EXPLODE_INSTANTLY,武器[color=red]伤害减半[/color]\n粘弹在依附时会[color=#00ff00]立即爆炸[/color],The gyrojects will [color=red]half the damage[/color]\nThe gyrojects will [color=#00ff00]explode instantly[/color] when stick to entities
EFFECT_QMTATO_GYROJETS_WEAPON,{0}\n粘弹延迟[color=#00ff00]{1}s[/color]后爆炸\n每枚粘弹会提升[color=#00ff00]{2}%[/color]伤害,{0}\nThe gyrojects will explode after [color=#00ff00]{1}s[/color]\nEvery gyrojets will increase [color=#00ff00]{2}%[/color] damage
WEAPON_QMTATO_CONTAINED_BLAST,遏制爆炸,Contained Blast
WEAPON_QMTATO_CONTAINED_KAOSON,考桑,Kaoson
QMTATO_CHARACTER_TEDIORE,泰迪尔,Tediore
EFFECT_CHARACTER_TEDIORE,你的武器有[color=#00ff00]自己的想法[/color],You weapons [color=#00ff00]have their own minds[/color]
QMTATO_ITEM_SMART_GUN,追踪组件,Tracking Component
EFFECT_QMTATO_ITEM_SMART_GUN,开局时随机一个武器[color=#00ff00]脱离束缚[/color],One of your weapons [color=#00ff00]has its own mind[/color] when wave started
QMTATO_ITEM_TURRET_LORD,炮塔核心,Turret Lord
EFFECT_QMTATO_ITEM_TURRET_LORD,炮塔获得[color=#00ff00]{0}%暴击率[/color]\n[color=#00ff00]至多{1}个炮塔[/color]会获得以下增幅之一:\n{2},Turrets gain [color=#00ff00]{0}% crit chance[/color]\n[color=#00ff00]Max {1} turrets [/color] will gain one of the listed bonus:\n{2}
QMTATO_CHARACTER_JUICY,柠檬水爱好者,Lemonade Lover
EFFECT_CHARACTER_JUICY,受到攻击时失去[color=red]{1}[/color] [color=#00ff00]{0}[/color]","若没有足够的[color=#00ff00]{0}[/color]","则按照数量失去[color=red]{2}[/color]其价值的材料\n若回合结束时你没有至少[color=#00ff00]{3}[/color]数量的[color=#00ff00]{0}[/color]","你将会失去[color=red]{4}[/color],Lose [color=red]{1}[/color] [color=#00ff00]{0}[/color] when you took damage"," if you dont have enough [color=#00ff00]{0}[/color]"," you will lose [color=red]{2}[/color] of its value of materials\nYou will lose [color=red]{4}[/color] if you dont have at least [color=#00ff00]{3}[/color] number of [color=#00ff00]{0}[/color]
QMTATO_WEAPON_PIRANHA_GUN,食人鱼枪,Piranha Gun
QMTATO_WEAPON_PIRANHA_GUN_EFFECT,[color=#00fcff]枪械发射食人鱼[/color]\n食人鱼会咬住敌人同时每{0}造成一次伤害\n若你与食人鱼的距离[color=#00ff00]大于武器范围[/color]则重新发射食人鱼\n食人鱼最多会咬住一个敌人[color=#00ff00]{1}s[/color]\n最多同时存在[color=#00ff00]{2}条[/color]食人鱼,[color=#00fcff]Gun shot piranhas[/color]\nPiranha will bite enemies and deal damage every {0}\nIf the distance between you and the piranha [color=#00ff00] is greater than the weapon range [/color]"," then re shot the piranha\nThe piranha can bite an enemy for max [color=#00ff00]{1}s[/color]\nMax number of piranha is [color=#00ff00]{2}[/color]
CHARACTER_FURION,先知,Furion
EFFECT_CHARACTER_FURION,树木为你而战\n\n树木获得\n{0} 伤害\n{1} 生命值加成\n{2} 速度加成\n{3} 伤害减免(非百分比减免)\n树木会随机持有你手中的[color=#00ff00]一件武器[/color]\n,Trees fight for you.\n\n Trees gain \n{0} damage\n{1} bonus health\n{2} bonus speed\n{3} bonus damage reduction\nTrees will have [color=#00ff00]one of your weapons[/color].\n
QMTATO_CHARACTER_DUELIST,决斗者,Duelist
QMTATO_DUELIST_EFFECT,倒计时最后5s时进入[color=yellow]决斗模式[/color]","此时倒计时增加[color=#00ff00]20s[/color]","决斗时精英敌人根据你的属性获得增强,Enter [color=yellow]Duel Mode[/color] in the last 5s of the countdown\nAt this point"," the countdown increases by [color=#00ff00]20s[/color]\nElite foes gain enhancements based on your stats when dueling
QMTATO_ITEM_DUELIST_GLORY,角斗士的荣耀,Glory of Duelist
DUELIST_GLORY_EFFECT,关卡时间延长{0}s\n敌人有[color=red]{1} %[/color]几率装备一件武器,Extend wave time by {0} s\nEnemy has [color=red]{1} %[/color] chance to equip a random weapon
CHAL_QMTATO_CHARACTER_DUELIST,使用 {0} 在 危险{1} 难度中赢得一场比赛,Win a run with {0} in Danger {1}
CHARACTER_MARBLE,弹豆,Marble
MARBLE_DETAIL_TEXT,通过移动键可以蓄力，冲刺过程中碰到敌人会产生爆炸，造成[color=#00ff00]{0}[/color] ({1})伤害\n冲刺箭头和目标指示越一致(方向和大小)，冲刺效果越强\n\n冲刺产生射弹(箭头大小):\n[color=#00ff00]{2}[/color] ({3}) 伤害\n[color=#00ff00]{4}[/color] 最大射弹数\n[color=#00ff00]8[/color] 倍对Boss伤害\n\n射弹尺寸(箭头方向):\n[color=#00ff00]2[/color] 倍最大尺寸\n,Movement will charge you，when you are dashing，you can deal [color=#00ff00]{0}[/color] ({1}) explosion damage\nThe closer your dash bar is to the target arrow，the more powerful your dash will be\n\nDash spawn projectiles(arrow size):\n[color=#00ff00]{2}[/color] ({3}) damage\n[color=#00ff00]{4}[/color] max projectiles number\n[color=#00ff00]8[/color] times more damage to Boss\n\nProjectiles size(arrow direction):\n[color=#00ff00]2[/color] times max size\n
